Fichero actualizado a fecha: 2024-04-27 03:45:16
"Título";"Descripción";"Tag";"FechaCreacion";"FechaUltimaActualizacion";"Frecuencia de actualización";"Sector";"Organismo responsable";"AmbitoGeografico";"Licencia";"Formatos disponibles para descarga";"EnlaceMasInformacion";Identificador;actualizacionMetadatos;Enlace al contenido;
"Establecimientos comerciales en Castilla y León";"<p>Relación de establecimientos comerciales situados en Castilla y León.</p>
<p>La información se presenta organizada en los siguientes campos: número de registro de actividad, titular, nombre comercial, dirección código postal, población, municipio, provincia, código de provincia, código de municipio, código de población, C.N.A.E., sector comercial, teléfono, móvil, correo electrónico, página web, latitud, longitud, posición geométrica y número de habitantes.</p>";"comercio, establecimientos comerciales";"20220301";;"Continua";"economia";"Junta de Castilla y León";"Castilla y León";"CC-BY";"CSV, JSON, XML";;1285142020827;20220301;"https://datosabiertos.jcyl.es/web/jcyl/set/es/economia/establecimientos-comerciales/1285142020827";
"Calificaciones de Zonas de Agua de Baño";"<p>Resumen de las calificaciones obtenidas en cada Zona de Agua de Baño en Castilla y León durante la temporada de baño del año correspondiente (del 15 de junio al 15 de septiembre de cada anualidad).<br />
<br />
La valoración de la aptitud de las aguas de baño se realiza a tenor de lo establecido en el Decreto 80/2008, de 27 noviembre, sobre la gestión sanitaria de la calidad de las aguas de año de la Comunidad de Castilla y León y la Orden SAN/2207/2008, de 22 diciembre por la que se desarrolla parcialmente el Decreto 80/2008.</p>
<p>Nota aclaratoria sobre los datos:</p>
<ul>
<li><strong>A</strong>: AGUA APTA PARA EL BAÑO</li>
<li><strong>N</strong>: AGUA NO APTA PARA EL BAÑO</li>
<li><strong>C: </strong>AGUA SIN ANALIZAR (VASO CERRADO)</li>
</ul>
<p></p>";"salud pública, calificaciones, agua, baño";"20181221";;"Anual";"salud";"Junta de Castilla y León";"Castilla y León";"CC-BY";"CSV, JSON, XLS";"https://www.saludcastillayleon.es/es/zonasdebano/zonas-aguas-bano-castilla-leon";1284840207211;20210831;"https://datosabiertos.jcyl.es/web/jcyl/set/es/salud/calificaciones-aguas-bano/1284840207211";
"Accidentalidad por carreteras";"<p>Índices de accidentalidad de la red de carreteras de titularidad de la Comunidad Autónoma.</p>
<a href='https://datosabiertos.jcyl.es/web/jcyl/binarios/582/267/%C3%8Dndices_de_accidentalidad.pdf?blobheader=application%2Fpdf%3Bcharset%3DUTF-8&amp;blobheadername2=site&amp;blobheadername3=Cache-control&amp;blobheadername4=Expires&amp;blobheadervalue2=Portal_RISP&amp;blobheadervalue3=no-store%2Cno-cache%2Cmust-revalidate&amp;blobheadervalue4=0&amp;blobnocache=true' title='Descarga del documento tipo PDF . Abre una nueva ventana'><img src='http://www.jcyl.es/futuretense_cs/JCYL_17/img/iconos/pdf.png' alt='. Abre una nueva ventana' class='icono' /> Definiciones de los índices de accidentalidad utilizados 108 kbytes </a>";"transporte, redes de transporte, red viaria, carreteras, accidentes";"20200720";;"Anual";"transporte, urbanismo-infraestructuras";"Junta de Castilla y León";"Castilla y León";"CC-BY";"CSV, XLS, JSON";;1284967604431;20210510;"https://datosabiertos.jcyl.es/web/jcyl/set/es/transporte/accidentalidad-carreteras/1284967604431";
"Acreditación de competencias profesionales";"<p>Las competencias profesionales adquiridas en el trabajo y los conocimientos obtenidos por la experiencia acumulada a lo largo de la vida ahora pueden ser reconocidos. En otras palabras, si NO se posee una titulación oficial, pero se tienen conocimientos profesionales obtenidos por una actividad laboral, o por haber desarrollado tareas de voluntariado, becario u otro tipo de actividades no remuneradas, o se tienen conocimientos por vías de aprendizaje no formales de formación, mediante este proceso, los candidatos pueden demostrar lo que saben hacer y obtener una certificación oficial relacionada con su actividad.</p>
<p>La Administración Pública convoca procedimientos de Evaluación y Acreditación de Competencias Profesionales en las Comunidades Autónomas. La convocatoria se centra en determinados ámbitos profesionales y se puede participar en aquella que se ajuste a nuestro perfil.</p>
<p>La información está organizada en los siguientes campos: año, tipo, descripción, plazas convocadas, plazas solicitadas y acreditaciones.</p>";"empleo, certificados, formación";"20210921";;"Anual";"empleo";"Junta de Castilla y León";"Castilla y León";"CC-BY";"CSV, JSON, XLS";"https://empleo.jcyl.es/web/es/quiero-formarme/acreditacion-competencias-profesionales.html";1285093805573;20211112;"https://datosabiertos.jcyl.es/web/jcyl/set/es/empleo/acreditacion-competencias-profesionales/1285093805573";
"Actas de la Comisión Delegada para Asuntos Económicos";"<p>Listado de actas de la Comisión Delegada para Asuntos Económicos, indicando para cada una de ellas la fecha de la sesión, el número de la sesión, el título y texto del acta.</p>
<p><strong>Nota: Comisión derogada por la disposición derogatoria del Decreto 19/2022, de 26 de mayo, por el que se crea y regula la Comisión Delegada del Gobierno</strong></p>";"administración pública, comisión delegada de asuntos económicos, actas";"20201015";;"No programado";"sector-publico";"Junta de Castilla y León";"Castilla y León";"CC-BY";"CSV, XLS";"https://gobiernoabierto.jcyl.es/web/es/transparencia/organos-colegiados-gobierno.html";1284993329001;20230316;"https://datosabiertos.jcyl.es/web/jcyl/set/es/sector-publico/actas-comision-delegada-asuntos-economicos/1284993329001";
"Actas de la Comisión Delegada del Gobierno";"<p>Listado de actas de la Comisión Delegada del Gobierno, indicando para cada una de ellas la fecha de la sesión, el número de la sesión, el título y texto del acta.</p>";"administración pública, comisión delegada del gobierno, actas";"20220602";;"Semanal";"sector-publico";"Junta de Castilla y León";"Castilla y León";"CC-BY";"CSV, XLS";"https://gobiernoabierto.jcyl.es/web/es/transparencia/organos-colegiados-gobierno.html";1285175631570;20220602;"https://datosabiertos.jcyl.es/web/jcyl/set/es/sector-publico/actas-comision-delegada-gobierno/1285175631570";
"Actas del Consejo de Gobierno";"<p>Listado de actas de Consejos de Gobierno, indicando para cada una de ellas la fecha de la sesión, el número de la sesión, el título y texto del acta.</p>";"actas, consejo de gobierno";"20200924";;"Semanal";"sector-publico";"Junta de Castilla y León";"Castilla y León";"CC-BY";"CSV, XLS";"https://comunicacion.jcyl.es/web/es/consejos-gobierno/ultimos-consejos-gobierno.html";1284971704842;20200924;"https://datosabiertos.jcyl.es/web/jcyl/set/es/sector-publico/actas-consejo-gobierno/1284971704842";
"Actividad Analítica de los Laboratorios de Control Oficial";"<p>La actividad analítica de los laboratorios de control oficial estudia el número de muestras analizadas y las determinaciones llevadas a cabo, desglosado por tipo.</p>
<p>Aclaraciones a tener en cuenta:</p>
<ul>
<li>Las columnas ""Número de muestras analizadas por tipo - PNIR"" y ""Número de determinaciones realizadas por tipo - PNIR"" hacen referencia al Plan nacional de investigación de residuos en productos de origen animal.</li>
<li>En las columnas ""Número de muestras analizadas por tipo - Otras"" y ""Número de determinaciones realizadas por tipo - Otras"" se incluyen colaborativos, controles internos, superficies de trabajo, coprocultivos, etc.</li>
</ul>";"salud pública, actividad analítica, análisis, laboratorios de control, oficial";"20181221";;"Anual";"salud";"Junta de Castilla y León";"Castilla y León";"CC-BY";"CSV, JSON";"https://www.saludcastillayleon.es/transparencia/es/transparencia/sanidad-cifras/informes-estadisticos/ordenacion-tematica/salud-publica/actividad-analitica-laboratorios-control-oficial";1284839618761;20240411;"https://datosabiertos.jcyl.es/web/jcyl/set/es/salud/laboratorios-control-oficial/1284839618761";
"Actividad Concertada de la Asistencia Sanitaria";"<p>La Ley 8/2010, de 30 de agosto, de Ordenación del Sistema de salud de Castilla y León en su título VIII establece que la iniciativa privada complementará las prestaciones ofrecidas por el Sistema Público de Salud cuando resulte necesario, teniendo en cuenta, con carácter previo, la utilización óptima de los recursos sanitarios propios. En todo caso, en las relaciones con la iniciativa privada, se respetará los principios de publicidad, transparencia, objetividad, eficiencia y buena administración.</p>
<p><span class=""spanunderline""><strong>Definiciones</strong></span>:</p>
<ul>
<li><strong>ÓRGANO PROMOTOR</strong>: Gerencia responsable de promover el expediente y de formalizarlo, respetando en todo caso la delegación de competencias.</li>
<li><strong>MARCO JURÍDICO</strong>: figura jurídica que recoge la relación entre partes.</li>
<li><strong>TIPO DE CONTRATO</strong>: clasificación del contrato conforme a la legislación vigente.</li>
<li><strong>PRESTACIÓN</strong>: tipo de actividad sanitaria.</li>
<li><strong>TÉCNICA</strong>: procedimiento empleado en la prestación.</li>
<li><strong>PROVEEDOR</strong>: entidad adjudicataria.</li>
<li><strong>ÁMBITO DE ATENCIÓN</strong>: área geográfica de actuación.</li>
<li><strong>FECHA DE INICIO</strong>: fecha de inicio de vigencia inicial.</li>
<li><strong>FECHA FIN</strong>: fecha de finalización de la vigencia inicial.</li>
<li><strong>FECHA PRÓRROGA</strong>: fecha de finalización de la prórroga (si la hubiera).</li>
<li><strong>FECHA MÁXIMA</strong>: fecha de duración máxima posible.</li>
</ul>";"sanidad";"20211231";"20240405";"Anual";"salud";"Junta de Castilla y León";"Castilla y León";"CC-BY";"CSV, JSON, XLS";"https://www.saludcastillayleon.es/transparencia/es/observatorio/atencion-primaria";1285054254922;20240408;"https://datosabiertos.jcyl.es/web/jcyl/set/es/salud/actividad-concertada-asistencia-sanitaria/1285054254922";
"Actividad de enfermería a nivel de consultorio";"<p>Número de consultas totales, presenciales, no presenciales y en domicilio realizadas por profesional de enfermería desglosando por día, consultorio, zona básica de salud, área y provincia.</p>
<p>La información se presenta agrupada en columnas: Código Consultorio, Consultorio, Código Zona Básica de Salud, Zona Básica de Salud, Área, Provincia, Consultas totales, Consultas presenciales, Consultas no presenciales, Consultas en domicilio.</p>
<p>Se actualiza el día 8 de cada mes.</p>
<p></p>";"sanidad, atención sanitaria, enfermería, BISION";"20211203";;"Mensual";"salud";"Junta de Castilla y León";"Castilla y León";"CC-BY";"CSV, JSON, XLS";;1285114516383;20240118;"https://datosabiertos.jcyl.es/web/jcyl/set/es/salud/actividad-enfermeria-consultorio/1285114516383";
