"APLICACIÓN PRESUP.";"AREA";"DENOMINACIÓN";"EURO"
1131000;;"INTERESES OPERAC. CRÉDITO";200000,00
1191300;;"AMORTIZACIÓN OP. DE CRÉDITO";7446787,72
13022699;"ADMINISTRACIÓN GENERAL DE LA SEGURIDAD Y PROTECCIÓN CIVIL";"OTROS GASTOS DIVERSOS";5000,00
13022707;"ADMINISTRACIÓN GENERAL DE LA SEGURIDAD Y PROTECCIÓN CIVIL";"SERVICIO CAPTACIÓN DE IMÁGENES AÉREAS";10000,00
13522000;"PROTECCIÓN CIVIL";"MATERIAL OFICINA";500,00
13522104;"PROTECCIÓN CIVIL";"VESTUARIO PERSONAL CECOPIN Y EMERGENCIAS";3000,00
13522606;"PROTECCIÓN CIVIL";"FORMACIÓN EN MATERIA DE PROTECCIÓN CIVIL";7000,00
13522707;"PROTECCIÓN CIVIL";"ASIST. TÉCNICA ELABORACIÓN PLANES DE EMERGENCIAS";40000,00
13522709;"PROTECCIÓN CIVIL";"ELABORACIÓN DE PLANES AUTOPROTECCIÓN";30000,00
13548900;"PROTECCIÓN CIVIL";"SUBVENCIONES ASOCIACIONES DE PROTECCIÓN CIVIL";15000,00
13548901;"PROTECCIÓN CIVIL";"CONVENIO AEA SERVICIO DE EMERGENCIA";50000,00
13548902;"PROTECCIÓN CIVIL";"PREMIOS EN EMERGENCIA";1500,00
13560100;"PROTECCIÓN CIVIL";"INVERSIONES EN SEGURIDAD Y EMERGENCIAS";18000,00
13562400;"PROTECCIÓN CIVIL";"VEHÍCULOS EMERGENCIA";75000,00
13562700;"PROTECCIÓN CIVIL";"PROYECTO MEJORA EQUIPAMIENTO Y DOTACIONES EMERGENCIAS";50000,00
13562901;"PROTECCIÓN CIVIL";"MATERIAL DE EMERGENCIAS";9000,00
13578900;"PROTECCIÓN CIVIL";"SUVB. AEA COMPRA VEHICULOS DE EMERGENCIA";14000,00
13622709;"SERVICIOS DE EXTINCIÓN DE INCENDIOS";"PRESTACIÓN SERVICIO PREV. Y EXT. INCENDIOS";600000,00
15022000;"ADMINISTRACIÓN GENERAL DE VIVIENDA Y URBANISMO";"MATERIAL DE OFICINA";1000,00
15112000;"URBANISMO";"SUELDOS GRUPO A1";60926,85
15112001;"URBANISMO";"SUELDOS GRUPO A2";13284,68
15112003;"URBANISMO";"SUELDOS GRUPO C1";10077,59
15112006;"URBANISMO";"TRIENIOS";7197,96
15112100;"URBANISMO";"COMPLEMENTO DE DESTINO";54614,28
15112101;"URBANISMO";"COMPLEMENTO ESPECÍFICO";84015,26
15112103;"URBANISMO";"OTROS COMPLEMENTOS";44593,84
15115000;"URBANISMO";"PRODUCTIVIDAD";1123,68
15116000;"URBANISMO";"SEGURIDAD SOCIAL";62938,67
15122602;"URBANISMO";"PUBLICIDAD PIOLP Y OTROS";2000,00
15122710;"URBANISMO";"ASISTENCIA TÉCNICA PLANIFICACIÓN";350000,00
