Authors,Title,Publication,Volume,Number,Pages,Year,Publisher
"Steel, Chad MS; Newman, Emily; O’Rourke, Suzanne; Quayle, Ethel; ",An integrative review of historical technology and countermeasure usage trends in online child sexual exploitation material offenders,Forensic Science International: Digital Investigation,33,,300971,2020,Elsevier
"Rawat, Mr Akash; Mehlawat, Mr Manav; Garg, Mrs Neha; ",Achieving Anonymity with the help of TOR (TOR: A Review),,,,,,
"Okyere-Agyei, Stanley; ",The dark web—a review,,,,,2022,
"Omar, Z Mohamud; Ibrahim, Jamaluddin; ","An overview of Darknet, rise and challenges and its assumptions",Int. J. Comput. Sci. Inf. Technol,8,,110-116,2020,
"Orsolini, Laura; Papanti, Duccio; Corkery, John; Schifano, Fabrizio; ",An insight into the deep web; why it matters for addiction psychiatry?,Human Psychopharmacology: Clinical and Experimental,32,3,e2573,2017,Wiley Online Library
"Nazah, Saiba; Huda, Shamsul; Abawajy, Jemal; Hassan, Mohammad Mehedi; ",Evolution of dark web threat analysis and detection: A systematic approach,Ieee Access,8,,171796-171819,2020,IEEE
"Tazi, Faiza; Shrestha, Sunny; De La Cruz, Junibel; Das, Sanchari; ",Sok: An evaluation of the secure end user experience on the dark net through systematic literature review,Journal of Cybersecurity and Privacy,2,2,329-357,2022,MDPI
"Sadik, Shahrin; Ahmed, Mohiuddin; ",An overview of the Dark Web,Security Analytics for the Internet of Everything,,,55-63,2020,CRC Press
"Upulie, H; Prasanga, P; ","Dark Web, Its Impact on the Internet and the Society: A Review",,,,,2021,
"Himawan, H; Susano, A; Irfansyah, P; Mutia, I; Astuti, P; ",Inside of deep web anonymous technology: a short review,Journal of Physics: Conference Series,1175,1,012059,2019,IOP Publishing
"Sobhan, Shahriar; Williams, Timothy; Faruk, Md Jobair Hossain; Rodriguez, Juan; Tasnim, Masrura; Mathew, Edwin; Wright, Jack; Shahriar, Hossain; ",A review of dark web: Trends and future directions,"2022 IEEE 46th Annual Computers, Software, and Applications Conference (COMPSAC)",,,1780-1785,2022,IEEE
"Saleem, Javeriah; Islam, Rafiqul; Islam, Zahidul; ",Darknet Traffic Analysis: A Systematic Literature Review,IEEE Access,,,,2024,IEEE
"Rama, Raghu; Nair, Vinith Kumar; Nedungadi, Prema; Ray, Indrakshi; Achuthan, Krishnashree; ","Darkweb research: Past, present, and future trends and mapping to sustainable development goals",Heliyon,,,,2023,Elsevier
"Ofusori, Lizzy; Hendradi, Rimuljo; ",Understanding the Impact of the Dark Web on Society: A Systematic Literature Review,International Journal of Information Science and Management (IJISM),21,4,1-21,2023,Islamic World Science & Technology Monitoring and Citation Institute (ISC)
"Gong, Ji; ",A COMPREHENSIVE SURVEY ON ANONYMOUS NETWORK TOPOLOGY ANALYSIS APPROACHES,Material Engineering and Mechanical Engineering: Proceedings of Material Engineering and Mechanical Engineering (MEES2015),,,220-227,2016,World Scientific
"Nikiforova, Victoria J; Willmitzer, Lothar; ",Network visualization and network analysis,Plant systems biology,,,245-275,2007,Springer
