OBJECTID,EoICode,StationNam,Longitude,Latitude,Altitude,StationTyp,StationAre,avg15
1,AT0ENK1,Enzenkirchen im Sauwald,13.67114,48.39172,525,background,rural-regional,13.353289
2,AT0ZOE2,Zöbelboden im Reichraminger Hintergebirge - Wildwiese,14.441389,47.838611,899,background,rural-remote,7.257276
3,AT30407,Glinzendorf im Marchfeld,16.636944,48.236667,150,background,rural-near_city,14.789538
4,AT31902,Zwentendorf im Tullnerfeld,15.903611,48.331111,200,background,rural,14.524676
5,AT4S108,Grünbach bei Freistadt,14.574722,48.531111,918,background,rural-regional,9.099422
6,AT4S418,Lenzing,13.600833,47.971944,510,background,rural,12.058089
7,BEGRT01,26RT01 - RETIE,5.053303,51.230858,23,background,rural,12.033426
8,BETN012,44N012 - MOERKERKE,3.362536,51.254574,3,background,rural,11.621019
9,BETN016,42N016 - DESSEL,5.163979,51.233652,30,background,rural,13.721193
10,BETN029,44N029 - HOUTEM,2.582323,51.01628,2,background,rural,10.76674
11,BETN054,42N054 - WALSHOUTEM,5.103159,50.711706,135,background,rural,13.100392
12,BETN060,43N060 - HAVINNES,3.457624,50.616718,0,background,rural,11.006506
13,BETN063,43N063 - CORROY L.G.,4.668288,50.655439,145,background,rural,11.354895
14,BETN067,43N067 - MEMBACH,5.992753,50.612278,233,background,rural,9.426099
15,BETN073,43N073 - VEZIN,4.988423,50.502716,160,background,rural,9.973228
16,BETN085,43N085 - VIELSALM,6.001736,50.303208,490,background,rural,6.826367
17,BETN093,43N093 - SINSIN,5.235169,50.274478,265,background,rural,8.910852
18,BETN100,43N100 - DOURBES,4.594763,50.095683,225,background,rural,8.098825
19,BETN113,43N113 - SAINT-ODE,5.593017,50.027029,510,background,rural,7.560071
20,BETN121,43N121 - OFFAGNE,5.202387,49.877128,430,background,rural,7.819823
21,BETN132,43N132 - HABAY-LA-N.,5.630398,49.719281,375,background,rural,8.689426
22,CY0002R,Emep - Ayia Marina,33.057823,35.038027,532,background,rural-regional,9.879714
