X,Y,FID,OBJECTID_1,OBJECTID_2,Objectid,Titular,Cod_post,Telefono,Clave_far,Cod_nuc,Nucleo,Pop_nuc,Cod_es,Ent_sing,Pop_ent,Cod_mun,Municipio,Provincia,Zf,Area_salud,Horario,Cod_area,Gerencia,Cod_distri,Cod_zbs,X_utm,Y_utm,Posicion,Y_wgs84,X_wgs84,Domicilio
-5.01890397506736,39.7598550044134,1,2461,1158,906,MODESTA MARIA JOSE RODRIGUEZ FERNANDEZ,45661,925858579,TO-206-F,45009000101,ALDEANUEVA DE BARBARROYA,482,450090001,ALDEANUEVA DE BARBARROYA,482,45009,ALDEANUEVA DE BARBARROYA,TOLEDO,BELVIS DE LA JARA,TALAVERA DE LA REINA, ,6,TALAVERA,6-02,670,"327058,2007","4403053,2013","39.7598550053412, -5.01890397506736",39.7598550053412,-5.01890397506736,"C/ JOSE DIAZ DEL PINO, 8"
-5.11222100013521,39.6366389768345,2,2462,1159,907,PILAR GOMEZ BERMEJO,45575,925441083,TO-201-F,45010000101,ALDEANUEVA DE SAN BARTOLOME,416,450100001,ALDEANUEVA DE SAN BARTOLOME,416,45010,ALDEANUEVA DE SAN BARTOLOMÉ,TOLEDO,ALDEANUEVA DE SAN BARTOLOME,TALAVERA DE LA REINA, ,6,TALAVERA,6-02,655,"318741,6978","4389560,8176","39.6366389777616, -5.11222100013521",39.6366389777616,-5.11222100013521,"CALLE ARROYUELO, 5"
-4.73955554743881,40.1850347816039,3,2463,1160,908,VANESA LUENGO SORIA,45631,925879655,TO-234-F,45011000101,ALMENDRAL DE LA CAÑADA,322,450110001,ALMENDRAL DE LA CAÑADA,322,45011,ALMENDRAL DE LA CAÑADA,TOLEDO,NAVAMORCUENDE,TALAVERA DE LA REINA, ,6,TALAVERA,6-01,755,"351909,777","4449745,4349","40.1850347825341, -4.73955554743881",40.1850347825341,-4.73955554743881,"CALLE CANTARRANAS, 26"
-3.85361802636182,39.7544959712365,4,2464,1161,909,MONICA GUERRERO ALONSO,45420,925314076,TO-162-F,45012000101,ALMONACID DE TOLEDO,885,450120001,ALMONACID DE TOLEDO,885,45012,ALMONACID DE TOLEDO,TOLEDO,MORA,TOLEDO, ,7,TOLEDO,7-01,735,"426874,6489","4400857,6182","39.7544959721642, -3.85361802636182",39.7544959721642,-3.85361802636182,"CALLE MOLINOS, 40 - A"
-4.39067298449404,40.2328140000595,5,2465,1162,910,VALENTIN MUÑOZ GOMEZ,45900,918623181,TO-005-F,45013000101,ALMOROX,2113,450130001,ALMOROX,2113,45013,ALMOROX,TOLEDO,ESCALONA,TOLEDO, ,7,TOLEDO,7-06,705,"381694,7527","4454525,2543","40.23281400099, -4.39067298449404",40.23281400099,-4.39067298449404,"CALLE FELIPE VAZQUEZ, 5"
-4.11711897218653,40.0559300171164,6,2466,1163,911,ARMANDO GARCIA RODREGUEZ,45182,925359062,TO-230-F,45015000101,ARCICOLLAR,1004,450150001,ARCICOLLAR,1004,45015,ARCICÓLLAR,TOLEDO,CAMARENA,TOLEDO, ,7,TOLEDO,7-03,680,"404719,8546","4434562,7276","40.0559300180459, -4.11711897218653",40.0559300180459,-4.11711897218653,"CALLE JOSE ANTONIO, 21"
-4.05726603925113,39.8062219808686,7,2467,1164,912,MARTA GONZÁLEZ ANGULO,45122,925376148,TO-021-F,45016000101,ARGES,6453,450160001,ARGES,6453,45016,ARGÉS,TOLEDO,POLAN,TOLEDO, ,7,TOLEDO,7-04,775,"409496,565","4406784,7217","39.8062219817967, -4.05726603925113",39.8062219817967,-4.05726603925113,"PLAZA CONSTITUCION, 10"
-5.12828596542836,39.7852859936434,8,2468,1165,913,ANGELINA GOMEZ OLMEDO,45571,925436748,TO-257-F,45017000101,AZUTAN,296,450170001,AZUTAN,296,45017,AZUTÁN,TOLEDO,"PUENTE DEL ARZOBISPO,EL",TALAVERA DE LA REINA, ,6,TALAVERA,6-02,790,"317754,7444","4406093,0325","39.7852859945713, -5.12828596542836",39.7852859945713,-5.12828596542836,"CALLE SOL, 38"
-4.23594301061234,39.9829650428409,9,2469,1166,914,ELISA CRESPO VELASCO,45525,925762123,TO-279-F,45018000101,BARCIENCE,1003,450180001,BARCIENCE,1003,45018,BARCIENCE,TOLEDO,TORRIJOS,TOLEDO, ,7,TOLEDO,7-06,855,"394472,6202","4426597,9188","39.98296504377, -4.23594301061234",39.98296504377,-4.23594301061234,"CALLE LAS PALOMAS, 3"
-4.019919025001,39.9390749884403,10,2470,1167,915,RUTH AGUADO GUADALIX,45593, ,TO-327-F,45019000101,BARGAS,8257,450190001,BARGAS,8257,45019,BARGAS,TOLEDO,BARGAS,TOLEDO, ,7,TOLEDO,7-04,665,"412861,8755","4421493,0979","39.9390749893692, -4.019919025001",39.9390749893692,-4.019919025001,"CALLE AGUA, 21"
-4.0239209931357,39.9207520305448,11,2471,1168,916,CARLOS BARCINA MARTIN,45593,925357202,TO-271-F,45019000301,PERDICES (LAS),1241,450190003,PERDICES (LAS),1241,45019,BARGAS,TOLEDO,BARGAS,TOLEDO, ,7,TOLEDO,7-04,665,"412496,6258","4419463,311","39.9207520314735, -4.0239209931357",39.9207520314735,-4.0239209931357,CALLE TRIGAL (URB. LAS PERDICE
-4.02628699021851,39.9413139791436,12,2472,1169,917,SONSOLES FLORES SAINZ,45593, ,TO-347-F,45019000101,BARGAS,8257,450190001,BARGAS,8257,45019,BARGAS,TOLEDO,BARGAS,TOLEDO, ,7,TOLEDO,7-04,665,"412320,6677","4421747,846","39.9413139800724, -4.02628699021851",39.9413139800724,-4.02628699021851,"CALLE PARDO, 3"
-4.02023601413799,39.9400070290082,13,2473,1170,918,FRANCISCO ZARAGOZA ARNAEZ,45593,925457021,TO-007-F,45019000101,BARGAS,8257,450190001,BARGAS,8257,45019,BARGAS,TOLEDO,BARGAS,TOLEDO, ,7,TOLEDO,7-04,665,"412835,9753","4421596,8567","39.940007029937, -4.02023601413799",39.940007029937,-4.02023601413799,"CALLE SANTIAGO DE LA FUENTE, 10"
-4.94885100880025,39.7590949617785,14,2474,1171,919,FRANCISCO JAVIER DEL CERRO CABELLO,45660,925858994,TO-009-F,45020000101,BELVIS DE LA JARA,1497,450200001,BELVIS DE LA JARA,1497,45020,BELVÍS DE LA JARA,TOLEDO,BELVIS DE LA JARA,TALAVERA DE LA REINA, ,6,TALAVERA,6-02,670,"333057,6214","4402835,8855","39.7590949627063, -4.94885100880025",39.7590949627063,-4.94885100880025,"CALLE IGLESIA, 8"
-5.1086930130341,39.7902309913408,15,2475,1172,920,CONSUELO MATEO ORTEGA,45571, ,TO-297-F,45007000301,BERCIAL (EL),336,450070003,BERCIAL (EL),336,45007,ALCOLEA DE TAJO,TOLEDO,"PUENTE DEL ARZOBISPO,EL",TALAVERA DE LA REINA, ,6,TALAVERA,6-02,790,"319445,563","4406602,2089","39.7902309922687, -5.1086930130341",39.7902309922687,-5.1086930130341,"PLAZA ESPAÑA, 4"
-3.74020495216599,40.0702199683017,16,2476,1173,921,ANGEL HERMIDA GARCIA,45222,925528158,TO-010-F,45021000101,BOROX,3757,450210001,BOROX,3757,45021,BOROX,TOLEDO,ESQUIVIAS,TOLEDO, ,7,TOLEDO,7-03,710,"436880,7913","4435813,463","40.0702199692313, -3.74020495216599",40.0702199692313,-3.74020495216599,"CALLE JULIAN RINCON, 4"
-2.16108501058024,39.2053399787991,17,1658,371,251,JOAQUIN CABOT LLEDO,02630, ,AB-219-F,02069000101,RODA (LA),15488,020690001,RODA (LA),15488,02069,LA RODA,ALBACETE,"RODA,LA",ALBACETE, ,1,ALBACETE,1-07,115,"572433,2114","4339898,9861","39.2053399797234, -2.16108501058024",39.2053399797234,-2.16108501058024,"CALLE CID, 5"
-4.94830601984188,39.6430720067515,18,2477,1174,922,MARTA GIL GIL,45673, ,TO-314-F,45162000101,BUENASBODAS,256,451620001,BUENASBODAS,256,45162,SEVILLEJA DE LA JARA,TOLEDO,"NAVA DE RICOMALILLO,LA",TALAVERA DE LA REINA, ,6,TALAVERA,6-02,740,"332824,4701","4389956,737","39.6430720076786, -4.94830601984188",39.6430720076786,-4.94830601984188,"CALLE REAL, 16"
-4.06522700257875,39.3153950251951,19,2060,733,548,ELVIRA RIVERA COLL,13427,926808065,CR-196-F,13036000201,CORTIJOS DE ARRIBA,448,130360002,CORTIJOS DE ARRIBA,448,13036,CORTIJOS (LOS),CIUDAD REAL,MALAGON,CIUDAD REAL, ,3,CIUDAD REAL,3-01,250,"408169,9736","4352318,1482","39.3153950261201, -4.06522700257875",39.3153950261201,-4.06522700257875,"EMPERADOR CARLOS V, 28"
-4.84960404371686,40.1741000432579,20,2478,1175,923,MARÍA JOSÉ RESINO TINOCO,45634,925875117,TO-056-F,45022000101,BUENAVENTURA,383,450220001,BUENAVENTURA,383,45022,BUENAVENTURA,TOLEDO,NAVAMORCUENDE,TALAVERA DE LA REINA, ,6,TALAVERA,6-01,755,"342515,4069","4448721,0557","40.174100044188, -4.84960404371686",40.174100044188,-4.84960404371686,"CALLE ELVIRO MESEGUER, 2"
-3.99063103915697,39.7964409863382,21,2479,1176,924,CARMEN ARROYO GARCIA-VERDUGO,45112,925393062,TO-125-F,45023000101,BURGUILLOS DE TOLEDO,3473,450230001,BURGUILLOS DE TOLEDO,3473,45023,BURGUILLOS DE TOLEDO,TOLEDO,TOLEDO,TOLEDO, ,7,TOLEDO,7-04,850,"415188,7043","4405633,866","39.7964409872662, -3.99063103915697",39.7964409872662,-3.99063103915697,"CALLE LOBO, 8"
-4.29923671760526,39.9027379548562,22,2480,1177,925,IGNACIO CASTRO PLAZA,45521,925284374,TO-204-F,45024000101,BURUJON,1304,450240001,BURUJON,1304,45024,BURUJÓN,TOLEDO,"PUEBLA DE MONTALBAN,LA",TOLEDO, ,7,TOLEDO,7-06,780,"388938,6507","4417770,0166","39.9027379557848, -4.29923671760526",39.9027379557848,-4.29923671760526,"CALLE RAMON Y CAJAL, 20"
-3.94671298305056,40.006107042453,23,2481,1178,926,"OLIVA OBEO, MARTA",45592,925355001,TO-205-F,45025000101,CABAÑAS DE LA SAGRA,2041,450250001,CABAÑAS DE LA SAGRA,2041,45025,CABAÑAS DE LA SAGRA,TOLEDO,VILLALUENGA DE LA SAGRA,TOLEDO, ,7,TOLEDO,7-03,875,"419195,4178","4428864,2275","40.0061070433822, -3.94671298305056",40.0061070433822,-3.94671298305056,"RONDA DE LA IGLESIA, 2"
-3.53664696433944,39.8889539627918,24,2482,1179,927,CRISTINA ESCUDERO ZAPATA,45312,925122101,TO-256-F,45026000101,CABAÑAS DE YEPES,304,450260001,CABAÑAS DE YEPES,304,45026,CABAÑAS DE YEPES,TOLEDO,OCAÑA,TOLEDO, ,7,TOLEDO,7-02,765,"454117,7393","4415570,1135","39.8889539637204, -3.53664696433944",39.8889539637204,-3.53664696433944,"CALLE ANGOSTILLA, 8"
-3.1018689533082,39.8164999764434,25,2483,1180,928,ISIDORO ORTIZ ALMAGRO,45890,925191005,TO-015-F,45027000101,CABEZAMESADA,319,450270001,CABEZAMESADA,319,45027,CABEZAMESADA,TOLEDO,CORRAL DE ALMAGUER,TOLEDO, ,7,TOLEDO,7-02,700,"491281,2648","4407395,7973","39.8164999773715, -3.1018689533082",39.8164999773715,-3.1018689533082,"PLAZA DEL AYUNTAMIENTO, 10"
-4.97919297336502,39.8811770023314,26,2484,1181,929,RICARDO DE LA VEGA CASALES,45595,925846212,TO-013-F,45028000201,CALERA Y CHOZAS,2999,450280002,CALERA Y CHOZAS,2999,45028,CALERA Y CHOZAS,TOLEDO,VELADA,TALAVERA DE LA REINA, ,6,TALAVERA,6-01,827,"330758,1605","4416443,8556","39.8811770032599, -4.97919297336502",39.8811770032599,-4.97919297336502,"PLAZA DE LOS MARTIRES, 13"
-4.97773696077402,39.8836760332765,27,2485,1182,930,Mª TERESA SANCHEZ RUIZ,45686,925846053,TO-012-F,45028000201,CALERA Y CHOZAS,2999,450280002,CALERA Y CHOZAS,2999,45028,CALERA Y CHOZAS,TOLEDO,VELADA,TALAVERA DE LA REINA, ,6,TALAVERA,6-01,827,"330888,8159","4416718,4897","39.883676034205, -4.97773696077402",39.883676034205,-4.97773696077402,"AVENIDA BENITO ALCALDE, 42"
-5.25503898853827,39.876190002098,28,2486,1183,931,ROCIO TARANGO MONTES,45589,925435306,TO-138-F,45029000101,CALERUELA,202,450290001,CALERUELA,202,45029,CALERUELA,TOLEDO,OROPESA,TALAVERA DE LA REINA, ,6,TALAVERA,6-01,770,"307154,39","4416449,4445","39.8761900030265, -5.25503898853827",39.8761900030265,-5.25503898853827,"CALLE ERAS, 18"
-5.28021397929622,39.8978820117275,29,2487,1184,932,Mª EVANGELINA FERNÁNDEZ MONTES,45580,925435186,TO-014-F,45030000101,CALZADA DE OROPESA (LA),510,450300001,CALZADA DE OROPESA (LA),510,45030,CALZADA DE OROPESA,TOLEDO,OROPESA,TALAVERA DE LA REINA, ,6,TALAVERA,6-01,770,"305062,7656","4418912,0032","39.8978820126561, -5.28021397929623",39.8978820126561,-5.28021397929623,"CALLE RAMON Y CAJAL, 64"
-4.11866501766702,40.0917420246417,30,2488,1185,933,ANA BELEN ESTEBAN RODRIGUEZ,45180,918174029,TO-016-F,45031000101,CAMARENA,3506,450310001,CAMARENA,3506,45031,CAMARENA,TOLEDO,CAMARENA,TOLEDO, ,7,TOLEDO,7-03,680,"404637,9569","4438539,3482","40.0917420255713, -4.11866501766702",40.0917420255713,-4.11866501766702,"CALLE REAL, 32 - BAJO"
-4.07404697453399,40.0181149850749,31,2489,1186,934,PILAR PANTOJA MARTIN,45181,925359161,TO-224-F,45032000101,CAMARENILLA,610,450320001,CAMARENILLA,610,45032,CAMARENILLA,TOLEDO,CAMARENA,TOLEDO, ,7,TOLEDO,7-03,680,"408342,9632","4430320,2611","40.0181149860042, -4.074046974534",40.0181149860042,-4.074046974534,"CALLE REAL, 16"
-5.05570895177674,39.5898439921242,32,2490,1187,935,BEGOÑA GARCIA BARBA,45578,925441269,TO-236-F,45033000101,CAMPILLO DE LA JARA (EL),336,450330001,CAMPILLO DE LA JARA (EL),336,45033,EL CAMPILLO DE LA JARA,TOLEDO,ALDEANUEVA DE SAN BARTOLOME,TALAVERA DE LA REINA, ,6,TALAVERA,6-02,655,"323472,7509","4384254,1677","39.589843993051, -5.05570895177674",39.589843993051,-5.05570895177674,"CALLE GRANADOS, 3"
-4.65554800074884,40.0649819899443,33,2491,1188,937,"ASENJO NICOLAS, Mª ISABEL",45642,925862321,TO-280-F,45035000101,CARDIEL DE LOS MONTES,181,450350001,CARDIEL DE LOS MONTES,394,45035,CARDIEL DE LOS MONTES,TOLEDO,CASTILLO DE BAYUELA,TALAVERA DE LA REINA, ,6,TALAVERA,6-03,685,"358813,5573","4436282,7375","40.0649819908738, -4.65554800074885",40.0649819908738,-4.65554800074885,"CALLE LAS ERAS, 12"
-4.4008709661067,39.9576159674608,34,2492,1189,938,BEGOÑA BENITO LOARCE,45531,925742184,TO-018-F,45036000101,CARMENA,777,450360001,CARMENA,777,45036,CARMENA,TOLEDO,TORRIJOS,TOLEDO, ,7,TOLEDO,7-06,855,"380346,0624","4423992,5391","39.9576159683898, -4.4008709661067",39.9576159683898,-4.4008709661067,"CALLE MESONES, 8"
-4.45737596404955,39.8880760281433,35,2493,1190,939,FRANCISCO DE SALES MARTÍN-SACRISTÁN NÚÑEZ,45533,925757402,TO-019-F,45037000101,CARPIO DE TAJO (EL),1826,450370001,CARPIO DE TAJO (EL),1826,45037,EL CARPIO DE TAJO,TOLEDO,"PUEBLA DE MONTALBAN,LA",TOLEDO, ,7,TOLEDO,7-06,780,"375393,5424","4416351,2745","39.8880760290719, -4.45737596404955",39.8880760290719,-4.45737596404955,"CALLE MESONES, 28"
-3.89860199769497,40.1699330024192,36,2494,1191,940,JESUS MORCUENDE TIMON Y ELISABETE GARCIA GARCIA,45216,925544268,TO-188-F,45038000101,CARRANQUE,4822,450380001,CARRANQUE,4822,45038,CARRANQUE,TOLEDO,ILLESCAS,TOLEDO, ,7,TOLEDO,7-03,720,"423485,5492","4447005,4549","40.1699330033493, -3.89860199769497",40.1699330033493,-3.89860199769497,"PLAZA DE LAS HERAS, 8"
-4.52365395994162,40.0461349874878,37,2496,1193,942,VALENTÍN DURÁN LÓPEZ,45542,925864333,TO-022-F,45040000101,CASAR DE ESCALONA (EL),1167,450400001,CASAR DE ESCALONA (EL),1167,45040,EL CASAR DE ESCALONA,TOLEDO,SANTA OLALLA,TALAVERA DE LA REINA, ,6,TALAVERA,6-03,805,"370026,2563","4433989,8342","40.0461349884173, -4.52365395994162",40.0461349884173,-4.52365395994162,"CALLE JOSE ANTONIO, 6"
