ID,APLICACIÓN,AREA,SUB_ÁREA,DENOMINACIÓN,EUROS,FID
1,13022699,PROTECCIÓN CIVIL,ADMINISTRACIÓN GENERAL DE LA SEGURIDAD Y PROTECCIÓN CIVIL,OTROS GASTOS DIVERSOS,10000,1
2,13022707,PROTECCIÓN CIVIL,ADMINISTRACIÓN GENERAL DE LA SEGURIDAD Y PROTECCIÓN CIVIL,SERVICIO CAPTACIÓN DE IMÁGENES AÉREAS,7500,2
3,13046100,PROTECCIÓN CIVIL,ADMINISTRACIÓN GENERAL DE LA SEGURIDAD Y PROTECCIÓN CIVIL,CONVENIO INVOLCAN RED DE SENSORES ACTIVIDAD VOLCÁNICA,50000,3
4,13272000,PROTECCIÓN CIVIL,SEGURIDAD Y ORDEN PÚBLICO,SUBV. MINISTERIO DEL INTERIOR MOBILIARIO OFICINA DE TRAFICO,15000,4
5,13520400,PROTECCIÓN CIVIL,PROTECCIÓN CIVIL,ARRENDAMIENTO VEHÍCULOS CECOPIN,35500,5
6,13522000,PROTECCIÓN CIVIL,PROTECCIÓN CIVIL,MATERIAL OFICINA,3000,6
7,13522104,PROTECCIÓN CIVIL,PROTECCIÓN CIVIL,VESTUARIO PERSONAL CECOPIN Y EMERGENCIAS,7500,7
8,13522602,PROTECCIÓN CIVIL,PROTECCIÓN CIVIL,PUBLICIDAD Y PROPAGANDA,7500,8
9,13522606,PROTECCIÓN CIVIL,PROTECCIÓN CIVIL,FORMACIÓN EN MATERIA DE PROTECCIÓN CIVIL,65000,9
10,13522610,PROTECCIÓN CIVIL,PROTECCIÓN CIVIL,PROYECTO DIVULGATIVO INSULAR EN EMERGENCIAS,20200,10
11,13522611,PROTECCIÓN CIVIL,PROTECCIÓN CIVIL,PROYECTO DE SEGURIDAD VIAL Y PREVENCIÓN DE RIESGOS,25000,11
12,13522707,PROTECCIÓN CIVIL,PROTECCIÓN CIVIL,ASIST. TÉCNICA ELABORACIÓN PLANES DE EMERGENCIAS Y ESPECIALES,25000,12
13,13522709,PROTECCIÓN CIVIL,PROTECCIÓN CIVIL,ELABORACIÓN DE PLANES AUTOPROTECCIÓN,15000,13
14,13523020,PROTECCIÓN CIVIL,PROTECCIÓN CIVIL,DIETAS PERSONAL,3000,14
15,13523120,PROTECCIÓN CIVIL,PROTECCIÓN CIVIL,LOCOMOCIÓN PERSONAL,3000,15
16,13523300,PROTECCIÓN CIVIL,PROTECCIÓN CIVIL,INDEMNIZACIONES DE EMERGENCIAS,15000,16
17,13548900,PROTECCIÓN CIVIL,PROTECCIÓN CIVIL,SUBV. ASOCIACIONES DE PROTECCIÓN CIVIL,25000,17
18,13548901,PROTECCIÓN CIVIL,PROTECCIÓN CIVIL,CONVENIO AEA SERVICIO DE EMERGENCIA,50000,18
19,13548903,PROTECCIÓN CIVIL,PROTECCIÓN CIVIL,CONVENIO CRUZ ROJA EVACUACION ALBERGUES,40000,19
20,13548904,PROTECCIÓN CIVIL,PROTECCIÓN CIVIL,CONVENIO COLEGIO PSICÓLOGOS ACTUACIONES EMERGENCIAS,10000,20
21,13560100,PROTECCIÓN CIVIL,PROTECCIÓN CIVIL,INVERSIONES EN SEGURIDAD Y EMERGENCIAS,15000,21
22,13562400,PROTECCIÓN CIVIL,PROTECCIÓN CIVIL,VEHÍCULOS EMERGENCIA,60000,22
23,13562700,PROTECCIÓN CIVIL,PROTECCIÓN CIVIL,EQUIPAMIENTOS Y DOTACIONES EMERGENCIAS,5000,23
24,13562701,PROTECCIÓN CIVIL,PROTECCIÓN CIVIL,NUEVO CENTRO DE EMERGENCIAS,1000,24
25,13562900,PROTECCIÓN CIVIL,PROTECCIÓN CIVIL,MATERIAL TELECOMUNICACIONES,20000,25
26,13562901,PROTECCIÓN CIVIL,PROTECCIÓN CIVIL,MATERIAL DE EMERGENCIAS,20000,26
27,13622709,PROTECCIÓN CIVIL,SERVICIOS DE EXTINCIÓN DE INCENDIOS,PRESTACIÓN SERVICIO PREV. Y EXT. INCENDIOS,675000,27
28,13662901,PROTECCIÓN CIVIL,SERVICIOS DE EXTINCIÓN DE INCENDIOS,ADQUISICIÓN MATERIAL SERV. PREV. Y EXT. INCENDIOS,60000,28
29,15112000,ORDENACIÓN DEL TERRITORIO,ORDENACIÓN DEL TERRITORIO,SUELDOS GRUPO A1,114562,29
30,15112001,ORDENACIÓN DEL TERRITORIO,ORDENACIÓN DEL TERRITORIO,SUELDOS GRUPO A2,28548,30
31,15112003,ORDENACIÓN DEL TERRITORIO,ORDENACIÓN DEL TERRITORIO,SUELDOS GRUPO C1,10828,31
32,15112004,ORDENACIÓN DEL TERRITORIO,ORDENACIÓN DEL TERRITORIO,SUELDOS GROPO C2,9098,32
33,15112006,ORDENACIÓN DEL TERRITORIO,ORDENACIÓN DEL TERRITORIO,TRIENIOS,17636,33
34,15112100,ORDENACIÓN DEL TERRITORIO,ORDENACIÓN DEL TERRITORIO,COMPLEMENTO DE DESTINO,100792,34
35,15112101,ORDENACIÓN DEL TERRITORIO,ORDENACIÓN DEL TERRITORIO,COMPLEMENTO ESPECÍFICO,129888,35
36,15112103,ORDENACIÓN DEL TERRITORIO,ORDENACIÓN DEL TERRITORIO,OTROS COMPLEMENTOS,89066,36
37,15115000,ORDENACIÓN DEL TERRITORIO,ORDENACIÓN DEL TERRITORIO,PRODUCTIVIDAD,2060,37
38,15116000,ORDENACIÓN DEL TERRITORIO,ORDENACIÓN DEL TERRITORIO,SEGURIDAD SOCIAL,125098,38
39,15120600,ORDENACIÓN DEL TERRITORIO,ORDENACIÓN DEL TERRITORIO,RENOVACIÓN LICENCIAS,1900,39
40,15122000,ORDENACIÓN DEL TERRITORIO,ORDENACIÓN DEL TERRITORIO,MATERIAL DE OFICINA,1300,40
41,15122001,ORDENACIÓN DEL TERRITORIO,ORDENACIÓN DEL TERRITORIO,"LIBROS, PRENSA, REVISTAS Y OTRAS PUBLICACIONES",400,41
42,15122002,ORDENACIÓN DEL TERRITORIO,ORDENACIÓN DEL TERRITORIO,MATERIAL INFORMÁTICO NO INVENTARIABLE,1800,42
43,15122602,ORDENACIÓN DEL TERRITORIO,ORDENACIÓN DEL TERRITORIO,PUBLICIDAD PIOLP Y OTROS,19000,43
44,15122606,ORDENACIÓN DEL TERRITORIO,ORDENACIÓN DEL TERRITORIO,REUNIONES Y CONFERENCIAS,5000,44
45,15122699,ORDENACIÓN DEL TERRITORIO,ORDENACIÓN DEL TERRITORIO,GASTOS DIVERSOS,1500,45
46,15122710,ORDENACIÓN DEL TERRITORIO,ORDENACIÓN DEL TERRITORIO,ASISTENCIA TÉCNICA PLANIFICACIÓN,425000,46
47,15162500,ORDENACIÓN DEL TERRITORIO,ORDENACIÓN DEL TERRITORIO,MOBILIARIO DE OFICINAS,5000,47
48,15162600,ORDENACIÓN DEL TERRITORIO,ORDENACIÓN DEL TERRITORIO,INVERSIONES EQUIPOS INFORMÁTICOS,5000,48
49,15276202,ORDENACIÓN DEL TERRITORIO,VIVENDA,SUBV. AYTO. SANTA CRUZ DE LA PALMA APORT. REGENERACION Y RENOVACIÓN URBANA URB. BENAHOARE,292600,49
50,16212000,RESIDUOS,"RECOGIDA, ELIMINACIÓN Y TRATAMIENTO DE RESIDUOS",SUELDOS GRUPO A1,32732,50
103,16922610,MATADERO,OTROS SERVICIOS DE BIENESTAR COMUNITARIO (MATADERO),LABORATORIO,22900,51
373,23522104,RESIDENCIAS DE PENSIONISTAS,RESIDENCIAS DE PENSIONISTAS,VESTUARIO,15500,52
51,16212001,RESIDUOS,"RECOGIDA, ELIMINACIÓN Y TRATAMIENTO DE RESIDUOS",SUELDOS GRUPO A2,28548,53
243,23022000,SERVICIOS SOCIALES,ADMINISTRACIÓN GENERAL DE SERVICIOS SOCIALES,MATERIAL DE OFICINA ORDINARIO NO INVENTARIABLE,700,54
315,23346224,SERVICIOS SOCIALES,ASISTENCIA PERSONAS DEPENDIENTES,CONVENIO AYTO. BREÑA ALTA CENTRO DÍA MAYORES GASTOS MANTENIMIENTO,176639,55
104,16922699,MATADERO,OTROS SERVICIOS DE BIENESTAR COMUNITARIO (MATADERO),OTROS GASTOS DIVERSOS MATADERO,5000,56
105,16922706,MATADERO,OTROS SERVICIOS DE BIENESTAR COMUNITARIO (MATADERO),ESTUDIOS Y TRABAJOS TÉCNICOS,13000,57
106,16922709,MATADERO,OTROS SERVICIOS DE BIENESTAR COMUNITARIO (MATADERO),SERVICIO TRATAMIENTO SANDACH,2800,58
109,16962700,MATADERO,OTROS SERVICIOS DE BIENESTAR COMUNITARIO (MATADERO),INVERSIONES MATADERO,20000,59
114,17012000,MEDIO AMBIENTE,ADMINISTRACIÓN GENERAL DE MEDIO AMBIENTE,SUELDOS GRUPO A1,81830,60
115,17012001,MEDIO AMBIENTE,ADMINISTRACIÓN GENERAL DE MEDIO AMBIENTE,SUELDOS GRUPO A2,42822,61
116,17012003,MEDIO AMBIENTE,ADMINISTRACIÓN GENERAL DE MEDIO AMBIENTE,SUELDOS GRUPO C1,216562,62
117,17012004,MEDIO AMBIENTE,ADMINISTRACIÓN GENERAL DE MEDIO AMBIENTE,SUELDOS GRUPO C2,27295,63
118,17012006,MEDIO AMBIENTE,ADMINISTRACIÓN GENERAL DE MEDIO AMBIENTE,TRIENIOS,58980,64
119,17012100,MEDIO AMBIENTE,ADMINISTRACIÓN GENERAL DE MEDIO AMBIENTE,COMPLEMENTO DE DESTINO,236698,65
120,17012101,MEDIO AMBIENTE,ADMINISTRACIÓN GENERAL DE MEDIO AMBIENTE,COMPLEMENTO ESPECÍFICO,297451,66
121,17012103,MEDIO AMBIENTE,ADMINISTRACIÓN GENERAL DE MEDIO AMBIENTE,OTROS COMPLEMENTOS,204673,67
122,17013000,MEDIO AMBIENTE,ADMINISTRACIÓN GENERAL DE MEDIO AMBIENTE,RETRIBUCIONES BÁSICAS PERSONAL LABORAL FIJO,1761117,68
123,17013002,MEDIO AMBIENTE,ADMINISTRACIÓN GENERAL DE MEDIO AMBIENTE,OTRAS REMUNERACIONES,2545428,69
124,17013100,MEDIO AMBIENTE,ADMINISTRACIÓN GENERAL DE MEDIO AMBIENTE,LABORAL TEMPORAL,79426,70
125,17015000,MEDIO AMBIENTE,ADMINISTRACIÓN GENERAL DE MEDIO AMBIENTE,PRODUCTIVIDAD,41295,71
126,17015100,MEDIO AMBIENTE,ADMINISTRACIÓN GENERAL DE MEDIO AMBIENTE,GRATIFICACIONES,70000,72
127,17016000,MEDIO AMBIENTE,ADMINISTRACIÓN GENERAL DE MEDIO AMBIENTE,SEGURIDAD SOCIAL,1740000,73
128,17016202,MEDIO AMBIENTE,ADMINISTRACIÓN GENERAL DE MEDIO AMBIENTE,TRANSPORTE DEL PERSONAL,12404,74
131,17020000,MEDIO AMBIENTE,ADMINISTRACIÓN GENERAL DE MEDIO AMBIENTE,ARRENDAMIENTO TERRENOS Y BIENES NATURALES,2200,75
132,17020200,MEDIO AMBIENTE,ADMINISTRACIÓN GENERAL DE MEDIO AMBIENTE,COMUNIDAD PROPIETARIOS EDIFICIO. ARRENDAMIENTO LOCAL,3900,76
133,17020500,MEDIO AMBIENTE,ADMINISTRACIÓN GENERAL DE MEDIO AMBIENTE,ARRENDAMIENTO MOBILIARIO Y ENSERES,500,77
134,17021200,MEDIO AMBIENTE,ADMINISTRACIÓN GENERAL DE MEDIO AMBIENTE,MANTENIMIENTO EDIFICIO Y OTRAS CONSTRUCCIONES,25000,78
135,17021300,MEDIO AMBIENTE,ADMINISTRACIÓN GENERAL DE MEDIO AMBIENTE,"MAQUINARIA, INSTALACIONES Y UTILLAJE",10000,79
136,17021400,MEDIO AMBIENTE,ADMINISTRACIÓN GENERAL DE MEDIO AMBIENTE,MANTENIMIENTO VEHÍCULOS,50000,80
137,17021500,MEDIO AMBIENTE,ADMINISTRACIÓN GENERAL DE MEDIO AMBIENTE,REPARACIÓN EQUIPOS OFICINA,800,81
