Time_s         F1_Hz        F2_Hz         F3_Hz   F4_Hz
0.262905   2057.171672   3873.006187   --undefined--   --undefined--
0.269155   1918.015457   4269.127576   --undefined--   --undefined--
0.275405   1570.057895   3814.224935   --undefined--   --undefined--
0.281655   1639.317708   3563.936662   --undefined--   --undefined--
0.287905   1527.339504   3611.479752   --undefined--   --undefined--
0.294155   1488.606603   3572.040078   --undefined--   --undefined--
0.300405   1431.323458   3558.150374   --undefined--   --undefined--
0.306655   1292.305029   3514.645812   --undefined--   --undefined--
0.312905   1555.539799   3640.034405   --undefined--   --undefined--
0.319155   1486.917345   3562.375692   --undefined--   --undefined--
0.325405   1372.230580   3455.481231   --undefined--   --undefined--
0.331655   1180.591461   3400.899613   --undefined--   --undefined--
0.337905   1492.739834   3955.238646   --undefined--   --undefined--
0.344155   1595.053294   3957.600856   --undefined--   --undefined--
0.350405   1552.787585   3969.960782   --undefined--   --undefined--
0.356655   1431.889786   3873.381310   --undefined--   --undefined--
0.362905   1358.505560   3912.352202   --undefined--   --undefined--
0.369155   1275.158625   3924.796374   --undefined--   --undefined--
0.375405   1281.238851   3835.237674   --undefined--   --undefined--
0.381655   1299.140952   3794.894077   --undefined--   --undefined--
0.387905   1268.394264   3763.360526   --undefined--   --undefined--
0.394155   1234.144034   3956.231120   --undefined--   --undefined--
0.400405   1249.030369   4052.187000   --undefined--   --undefined--
0.406655   1321.390789   3934.102641   --undefined--   --undefined--
0.412905   1354.930187   3932.967974   --undefined--   --undefined--
0.419155   1319.661413   3930.803115   --undefined--   --undefined--
0.425405   1315.219999   3888.341759   --undefined--   --undefined--
0.431655   1318.805558   3820.842156   --undefined--   --undefined--
0.437905   1315.385350   3754.053487   --undefined--   --undefined--
0.444155   1302.846187   3784.863233   --undefined--   --undefined--
0.450405   1292.282876   3798.811023   --undefined--   --undefined--
0.456655   1282.206967   3796.574214   --undefined--   --undefined--
0.462905   1271.221744   3801.473156   --undefined--   --undefined--
0.469155   1254.320435   3804.704404   --undefined--   --undefined--
0.475405   1233.558808   3791.093440   --undefined--   --undefined--
0.481655   1225.194021   3797.465647   --undefined--   --undefined--
0.487905   1231.478537   3784.675950   --undefined--   --undefined--
0.494155   1241.437239   3787.553749   --undefined--   --undefined--
0.500405   1228.800823   3728.956244   --undefined--   --undefined--
0.506655   1200.369456   3722.283578   --undefined--   --undefined--
0.512905   1172.823040   3806.224752   --undefined--   --undefined--
0.519155   1149.599708   3862.591119   --undefined--   --undefined--
0.525405   1143.381225   3850.458884   --undefined--   --undefined--
0.531655   1151.575452   3840.764878   --undefined--   --undefined--
0.537905   1180.245039   3864.444636   --undefined--   --undefined--
0.544155   1177.305455   3858.634387   --undefined--   --undefined--
0.550405   1190.567808   3815.172589   --undefined--   --undefined--
0.556655   1225.780022   3767.969201   --undefined--   --undefined--
0.562905   1265.674196   3857.892445   --undefined--   --undefined--
0.569155   1303.392157   3896.152195   --undefined--   --undefined--
0.575405   1326.352467   3876.643594   --undefined--   --undefined--
0.581655   1326.564390   3827.408970   --undefined--   --undefined--
0.587905   1347.245509   3760.441883   --undefined--   --undefined--
0.594155   1353.807839   3737.073474   --undefined--   --undefined--
0.600405   1347.949809   3691.175825   --undefined--   --undefined--
0.606655   1333.309792   3649.704041   --undefined--   --undefined--
0.612905   1325.751037   3603.159808   --undefined--   --undefined--
0.619155   1328.545903   3564.199055   --undefined--   --undefined--
0.625405   1244.461323   3653.698350   --undefined--   --undefined--
0.631655   1159.520922   3632.634098   --undefined--   --undefined--
0.637905   1191.643626   3535.406852   --undefined--   --undefined--
0.644155   1191.517826   3525.396364   --undefined--   --undefined--
0.650405   1216.218358   3521.113896   --undefined--   --undefined--
0.656655   1327.105150   3659.706004   --undefined--   --undefined--
0.662905   1338.659117   --undefined--   --undefined--   --undefined--
0.669155   1294.282752   3927.887673   --undefined--   --undefined--
0.675405   1229.884374   3763.674988   --undefined--   --undefined--
0.681655   1169.756270   3741.303763   --undefined--   --undefined--
0.687905   1138.177775   3608.522301   --undefined--   --undefined--
0.694155   1220.405223   3435.818830   --undefined--   --undefined--
0.700405   1259.265684   3601.081548   --undefined--   --undefined--
0.706655   1335.249419   3721.215446   --undefined--   --undefined--
