Time_s       F0_Hz
0,021463   112,201161
0,031463   115,601388
0,041463   112,798854
0,051463   110,709823
0,061463   98,728242
0,071463   98,139814
0,081463   98,486992
0,091463   96,302991
0,101463   96,283880
0,111463   95,445982
0,121463   184,716980
0,131463   189,585499
0,141463   187,264852
0,151463   194,238095
0,161463   197,949793
0,171463   --undefined--
0,181463   --undefined--
0,191463   --undefined--
0,201463   --undefined--
0,211463   --undefined--
0,221463   --undefined--
0,231463   --undefined--
0,241463   --undefined--
0,251463   --undefined--
0,261463   --undefined--
0,271463   --undefined--
0,281463   --undefined--
0,291463   --undefined--
0,301463   --undefined--
0,311463   219,164662
0,321463   204,171554
0,331463   193,716185
0,341463   194,206095
0,351463   196,265158
0,361463   192,283091
0,371463   192,116542
0,381463   179,251608
0,391463   163,120357
0,401463   156,390565
0,411463   141,417966
0,421463   136,143022
0,431463   139,163128
0,441463   --undefined--
0,451463   --undefined--
